ID,Titik 1,Moda 1,Harga 1,Titik 2,Moda 2,Harga 2,Titik 3,Moda 3,Harga 3,Titik 4,Moda 4,Harga 4,Titik 5,Moda 5,harga 5,Titik 6,Moda 6,Harga 6,Titik 7,Moda 7,Harga 7,Titik 8,Moda 8,Harga 8,Titik 9,Titik 10,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Total Harga
Rute-75,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko,Cibubur Line,9900,Dukuh Atas,Jalan Kaki (Integrasi),0,Dukuh Atas,MRT,7000,Blok M,,,Blok M,,,,,,,,,,,,,19900
Rute-76,UI,TJ 4B,3500,Bus Stop Pasar Minggu,6U,3500,Terminal Blok M,,0,Blok M,,,,,,,,,,,,,,,,,,,,,,,,,7000
Rute-77,UI,TJ 4B,3500,Manggarai,6M,3500,Blok M,,0,,,,,,,,,,,,,,,,,,,,,,,,,,7000
Rute-78,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,St. Manggarai,6M,3500,Blok M,,,,,,,,,,,,,,,,,,,,,,,,,6500
Rute-79,UI,Bogor Line,3000,Depok Baru,TJ D11,3500,Cawang,Bogor Line,,Cikini Station,Jalan Kaki (Integrasi),,SMPN 8,4C,,Bundaran Senayan 1,1P,,Blok M Jalur 2,,,Blok M,,,,,,,,,,,,,6500
Rute-80,UI,Bogor Line,3000,Depok Baru,TJ D11,3500,Cawang,Bogor Line,,Cikini Station,Jalan Kaki (Integrasi),,SMPN 8,4C,,Bundaran Senayan 1,Bogor - Blok M,,Terminal Blok M,,,Blok M,,,,,,,,,,,,,6500
Rute-81,UI,Bogor Line,3000,Depok Baru,TJ D11,3500,Cawang,Bogor Line,,Tebet,Jalan Kaki (Integrasi),,Stasiun Tebet,6D,,Bundaran Senayan 1,1P,,Blok M Jalur 2,,,Blok M,,,,,,,,,,,,,6500
Rute-82,UI,Bogor Line,3000,Depok Baru,TJ D11,3500,Cawang,Bogor Line,,Tebet,Jalan Kaki (Integrasi),,Stasiun Tebet,6D,,Bundaran Senayan 1,Bogor - Blok M,,Terminal Blok M,,,Blok M,,,,,,,,,,,,,6500
Rute-83,UI,Bogor Line,3000,Depok Baru,TJ D11,3500,Cawang,Bogor Line,,Tanjung Barat,Jalan Kaki (Integrasi),,St. Tj. Barat 2,D21,,St. MRT Fatmawati,Jalan Kaki (Integrasi),,Fatmawati Indomaret,Bundaran HI - Lebak Bulus,,Blok M BCA,,,Blok M,,,,,,,,,,6500
Rute-84,UI,Bogor Line,3000,Depok Baru,TJ D11,3500,Cawang,Bogor Line,,Pasar Minggu Station,Jalan Kaki (Integrasi),,Terminal Pasar Minggu,6T,,St. MRT Blok A,,,Blok M,,,,,,,,,,,,,,,,6500
